node1,node2,port1,port2
32_7_5,5_22_1,6,21
32_7_2,3_22_1,4,18
32_7_2,6_22_1,7,18
32_7_2,9_22_1,10,18
32_7_2,8_22_1,9,18
32_7_2,7_22_1,8,18
32_7_2,4_22_1,5,18
32_7_2,5_22_1,6,18
32_7_3,3_22_1,4,19
32_7_3,6_22_1,7,19
32_7_3,9_22_1,10,19
32_7_3,8_22_1,9,19
32_7_3,7_22_1,8,19
32_7_3,4_22_1,5,19
32_7_3,5_22_1,6,19
32_7_1,3_22_1,4,17
32_7_1,6_22_1,7,17
32_7_1,9_22_1,10,17
32_7_1,8_22_1,9,17
32_7_1,7_22_1,8,17
32_7_1,4_22_1,5,17
32_7_1,5_22_1,6,17
21_14_1,21_17_1,18,15
21_14_1,21_18_1,19,15
21_14_1,21_16_1,17,15
21_14_1,21_19_1,20,15
21_14_1,21_22_1,23,15
21_14_1,21_25_1,26,15
21_14_1,21_23_1,24,15
21_14_1,21_27_1,28,15
21_14_1,21_26_1,27,15
21_14_1,21_21_1,22,15
21_14_1,21_28_1,29,15
21_14_1,21_20_1,21,15
21_14_1,21_31_1,32,15
21_14_1,21_24_1,25,15
21_14_1,21_29_1,30,15
21_14_1,21_30_1,31,15
9_4_1,9_20_1,21,5
9_3_1,9_20_1,21,4
9_2_1,9_20_1,21,3
9_6_1,9_20_1,21,7
9_5_1,9_20_1,21,6
9_9_1,9_20_1,21,10
9_8_1,9_20_1,21,9
9_7_1,9_20_1,21,8
13_8_1,13_23_1,24,9
13_6_1,13_23_1,24,7
13_9_1,13_23_1,24,10
13_2_1,13_23_1,24,3
13_5_1,13_23_1,24,6
13_3_1,13_23_1,24,4
13_7_1,13_23_1,24,8
32_8_10,13_23_1,14,26
32_8_13,13_23_1,14,29
32_8_15,13_23_1,14,31
32_8_14,13_23_1,14,30
32_8_16,13_23_1,14,32
32_8_12,13_23_1,14,28
32_8_11,13_23_1,14,27
32_8_9,13_23_1,14,25
32_8_8,13_23_1,14,24
32_8_5,13_23_1,14,21
32_8_4,13_23_1,14,20
32_8_7,13_23_1,14,23
32_8_6,13_23_1,14,22
32_8_1,13_23_1,14,17
32_8_3,13_23_1,14,19
32_8_2,13_23_1,14,18
13_4_1,13_23_1,24,5
28_3_1,28_31_1,32,4
28_4_1,28_31_1,32,5
28_9_1,28_31_1,32,10
28_7_1,28_31_1,32,8
28_8_1,28_31_1,32,9
28_5_1,28_31_1,32,6
28_6_1,28_31_1,32,7
32_16_9,28_31_1,29,25
32_16_8,28_31_1,29,24
32_16_5,28_31_1,29,21
32_16_1,28_31_1,29,17
32_16_3,28_31_1,29,19
32_16_2,28_31_1,29,18
32_16_4,28_31_1,29,20
32_16_7,28_31_1,29,23
32_16_6,28_31_1,29,22
32_16_15,28_31_1,29,31
32_16_14,28_31_1,29,30
32_16_16,28_31_1,29,32
32_16_11,28_31_1,29,27
32_16_10,28_31_1,29,26
32_16_13,28_31_1,29,29
32_16_12,28_31_1,29,28
12_8_1,12_26_1,27,9
12_9_1,12_26_1,27,10
32_11_14,12_26_1,13,30
12_3_1,12_26_1,27,4
32_11_16,12_26_1,13,32
32_11_10,12_26_1,13,26
32_11_11,12_26_1,13,27
32_11_12,12_26_1,13,28
32_11_13,12_26_1,13,29
32_11_15,12_26_1,13,31
32_11_8,12_26_1,13,24
32_11_9,12_26_1,13,25
32_11_2,12_26_1,13,18
32_11_3,12_26_1,13,19
32_11_1,12_26_1,13,17
32_11_6,12_26_1,13,22
32_11_7,12_26_1,13,23
32_11_4,12_26_1,13,20
32_11_5,12_26_1,13,21
12_2_1,12_26_1,27,3
12_5_1,12_26_1,27,6
12_6_1,12_26_1,27,7
12_4_1,12_26_1,27,5
12_7_1,12_26_1,27,8
6_2_1,6_24_1,25,3
6_3_1,6_24_1,25,4
6_8_1,6_24_1,25,9
6_9_1,6_24_1,25,10
6_6_1,6_24_1,25,7
6_7_1,6_24_1,25,8
6_4_1,6_24_1,25,5
6_5_1,6_24_1,25,6
14_12_1,14_27_1,28,13
14_12_1,14_26_1,27,13
14_12_1,14_21_1,22,13
14_12_1,14_28_1,29,13
14_12_1,14_20_1,21,13
14_12_1,14_31_1,32,13
14_12_1,14_25_1,26,13
14_12_1,14_29_1,30,13
14_12_1,14_30_1,31,13
14_12_1,14_17_1,18,13
14_12_1,14_23_1,24,13
14_12_1,14_18_1,19,13
14_12_1,14_16_1,17,13
14_12_1,14_19_1,20,13
14_12_1,14_22_1,23,13
14_12_1,14_24_1,25,13
32_7_14,0_22_1,1,30
32_7_15,0_22_1,1,31
32_7_16,0_22_1,1,32
