node1,node2,port1,port2
5_6_9,5_6_1,0,8
5_6_14,5_6_1,0,13
5_6_15,5_6_1,0,14
5_6_16,5_6_1,0,15
5_6_17,5_6_1,0,16
5_6_10,5_6_1,0,9
5_6_11,5_6_1,0,10
5_6_12,5_6_1,0,11
5_6_13,5_6_1,0,12
7_13_9,7_13_1,0,8
7_13_8,7_13_1,0,7
7_13_3,7_13_1,0,2
7_13_2,7_13_1,0,1
7_13_5,7_13_1,0,4
7_13_4,7_13_1,0,3
7_13_7,7_13_1,0,6
7_13_6,7_13_1,0,5
7_13_15,7_13_1,0,14
7_13_14,7_13_1,0,13
7_13_17,7_13_1,0,16
7_13_16,7_13_1,0,15
7_13_11,7_13_1,0,10
7_13_10,7_13_1,0,9
7_13_13,7_13_1,0,12
7_13_12,7_13_1,0,11
21_9_8,21_9_1,0,7
21_9_9,21_9_1,0,8
21_9_2,21_9_1,0,1
21_9_3,21_9_1,0,2
21_9_4,21_9_1,0,3
21_9_5,21_9_1,0,4
21_9_6,21_9_1,0,5
21_9_7,21_9_1,0,6
21_9_12,21_9_1,0,11
21_9_13,21_9_1,0,12
21_9_10,21_9_1,0,9
21_9_11,21_9_1,0,10
21_9_16,21_9_1,0,15
21_9_17,21_9_1,0,16
21_9_14,21_9_1,0,13
21_9_15,21_9_1,0,14
11_1_5,11_1_1,0,4
11_1_4,11_1_1,0,3
11_1_7,11_1_1,0,6
11_1_6,11_1_1,0,5
11_1_3,11_1_1,0,2
11_1_2,11_1_1,0,1
11_1_9,11_1_1,0,8
11_1_8,11_1_1,0,7
11_1_11,11_1_1,0,10
11_1_10,11_1_1,0,9
11_1_13,11_1_1,0,12
11_1_12,11_1_1,0,11
11_1_15,11_1_1,0,14
11_1_14,11_1_1,0,13
11_1_17,11_1_1,0,16
11_1_16,11_1_1,0,15
13_9_9,13_9_1,0,8
13_9_8,13_9_1,0,7
13_9_7,13_9_1,0,6
13_9_6,13_9_1,0,5
13_9_5,13_9_1,0,4
13_9_4,13_9_1,0,3
13_9_3,13_9_1,0,2
13_9_2,13_9_1,0,1
13_9_11,13_9_1,0,10
13_9_17,13_9_1,0,16
13_9_16,13_9_1,0,15
13_9_15,13_9_1,0,14
13_9_14,13_9_1,0,13
13_9_13,13_9_1,0,12
13_9_12,13_9_1,0,11
13_9_10,13_9_1,0,9
4_11_10,4_11_1,0,9
4_11_11,4_11_1,0,10
4_11_12,4_11_1,0,11
4_11_13,4_11_1,0,12
4_11_14,4_11_1,0,13
4_11_15,4_11_1,0,14
4_11_16,4_11_1,0,15
4_11_17,4_11_1,0,16
4_11_8,4_11_1,0,7
4_11_9,4_11_1,0,8
4_11_2,4_11_1,0,1
4_11_3,4_11_1,0,2
4_11_6,4_11_1,0,5
4_11_7,4_11_1,0,6
4_11_4,4_11_1,0,3
4_11_5,4_11_1,0,4
8_11_8,8_11_1,0,7
8_11_9,8_11_1,0,8
8_11_6,8_11_1,0,5
8_11_7,8_11_1,0,6
8_11_4,8_11_1,0,3
8_11_5,8_11_1,0,4
8_11_2,8_11_1,0,1
8_11_3,8_11_1,0,2
8_11_14,8_11_1,0,13
8_11_15,8_11_1,0,14
8_11_16,8_11_1,0,15
8_11_17,8_11_1,0,16
8_11_10,8_11_1,0,9
8_11_11,8_11_1,0,10
8_11_13,8_11_1,0,12
8_11_12,8_11_1,0,11
21_2_7,21_2_1,0,6
21_2_6,21_2_1,0,5
21_2_5,21_2_1,0,4
21_2_4,21_2_1,0,3
21_2_3,21_2_1,0,2
21_2_2,21_2_1,0,1
21_2_9,21_2_1,0,8
21_2_8,21_2_1,0,7
21_2_17,21_2_1,0,16
21_2_16,21_2_1,0,15
21_2_15,21_2_1,0,14
21_2_14,21_2_1,0,13
21_2_13,21_2_1,0,12
21_2_12,21_2_1,0,11
21_2_11,21_2_1,0,10
21_2_10,21_2_1,0,9
10_15_6,10_15_1,0,5
10_15_7,10_15_1,0,6
10_15_4,10_15_1,0,3
10_15_5,10_15_1,0,4
10_15_2,10_15_1,0,1
10_15_3,10_15_1,0,2
10_15_8,10_15_1,0,7
10_15_9,10_15_1,0,8
10_15_10,10_15_1,0,9
10_15_11,10_15_1,0,10
10_15_12,10_15_1,0,11
10_15_13,10_15_1,0,12
10_15_14,10_15_1,0,13
10_15_15,10_15_1,0,14
10_15_16,10_15_1,0,15
10_15_17,10_15_1,0,16
25_6_9,25_6_1,0,8
25_6_8,25_6_1,0,7
25_6_7,25_6_1,0,6
25_6_6,25_6_1,0,5
25_6_5,25_6_1,0,4
25_6_4,25_6_1,0,3
25_6_3,25_6_1,0,2
25_6_2,25_6_1,0,1
25_6_17,25_6_1,0,16
25_6_16,25_6_1,0,15
25_6_15,25_6_1,0,14
25_6_14,25_6_1,0,13
25_6_13,25_6_1,0,12
25_6_12,25_6_1,0,11
25_6_11,25_6_1,0,10
25_6_10,25_6_1,0,9
15_5_9,15_5_1,0,8
15_5_8,15_5_1,0,7
15_5_5,15_5_1,0,4
15_5_4,15_5_1,0,3
15_5_7,15_5_1,0,6
15_5_6,15_5_1,0,5
15_5_3,15_5_1,0,2
15_5_2,15_5_1,0,1
15_5_11,15_5_1,0,10
15_5_10,15_5_1,0,9
15_5_13,15_5_1,0,12
15_5_12,15_5_1,0,11
15_5_15,15_5_1,0,14
15_5_14,15_5_1,0,13
15_5_17,15_5_1,0,16
15_5_16,15_5_1,0,15
10_3_13,10_3_1,0,12
10_3_2,10_3_1,0,1
10_3_3,10_3_1,0,2
10_3_6,10_3_1,0,5
10_3_7,10_3_1,0,6
10_3_4,10_3_1,0,3
10_3_5,10_3_1,0,4
10_3_8,10_3_1,0,7
10_3_9,10_3_1,0,8
10_3_10,10_3_1,0,9
10_3_11,10_3_1,0,10
10_3_12,10_3_1,0,11
10_3_14,10_3_1,0,13
10_3_15,10_3_1,0,14
10_3_16,10_3_1,0,15
10_3_17,10_3_1,0,16
25_9_8,25_9_1,0,7
25_9_9,25_9_1,0,8
25_9_4,25_9_1,0,3
25_9_5,25_9_1,0,4
25_9_6,25_9_1,0,5
25_9_7,25_9_1,0,6
25_9_2,25_9_1,0,1
25_9_3,25_9_1,0,2
25_9_16,25_9_1,0,15
25_9_17,25_9_1,0,16
25_9_14,25_9_1,0,13
25_9_15,25_9_1,0,14
25_9_12,25_9_1,0,11
25_9_13,25_9_1,0,12
25_9_10,25_9_1,0,9
25_9_11,25_9_1,0,10
31_5_9,31_5_1,0,8
31_5_8,31_5_1,0,7
31_5_3,31_5_1,0,2
31_5_2,31_5_1,0,1
31_5_7,31_5_1,0,6
31_5_6,31_5_1,0,5
31_5_5,31_5_1,0,4
31_5_4,31_5_1,0,3
31_5_13,31_5_1,0,12
31_5_12,31_5_1,0,11
31_5_11,31_5_1,0,10
31_5_10,31_5_1,0,9
31_5_17,31_5_1,0,16
31_5_16,31_5_1,0,15
31_5_15,31_5_1,0,14
31_5_14,31_5_1,0,13
27_1_14,27_1_1,0,13
27_1_15,27_1_1,0,14
27_1_16,27_1_1,0,15
27_1_17,27_1_1,0,16
27_1_10,27_1_1,0,9
27_1_11,27_1_1,0,10
27_1_12,27_1_1,0,11
27_1_13,27_1_1,0,12
27_1_6,27_1_1,0,5
27_1_7,27_1_1,0,6
27_1_4,27_1_1,0,3
27_1_5,27_1_1,0,4
27_1_2,27_1_1,0,1
27_1_3,27_1_1,0,2
27_1_8,27_1_1,0,7
27_1_9,27_1_1,0,8
12_6_11,12_6_1,0,10
12_6_10,12_6_1,0,9
12_6_13,12_6_1,0,12
12_6_12,12_6_1,0,11
12_6_15,12_6_1,0,14
12_6_14,12_6_1,0,13
12_6_17,12_6_1,0,16
12_6_16,12_6_1,0,15
12_6_9,12_6_1,0,8
12_6_8,12_6_1,0,7
12_6_5,12_6_1,0,4
12_6_4,12_6_1,0,3
12_6_7,12_6_1,0,6
12_6_6,12_6_1,0,5
12_6_3,12_6_1,0,2
12_6_2,12_6_1,0,1
4_3_6,4_3_1,0,5
4_3_7,4_3_1,0,6
4_3_4,4_3_1,0,3
4_3_5,4_3_1,0,4
4_3_2,4_3_1,0,1
4_3_3,4_3_1,0,2
4_3_8,4_3_1,0,7
4_3_9,4_3_1,0,8
4_3_10,4_3_1,0,9
4_3_11,4_3_1,0,10
4_3_12,4_3_1,0,11
4_3_14,4_3_1,0,13
4_3_15,4_3_1,0,14
4_3_16,4_3_1,0,15
4_3_17,4_3_1,0,16
4_3_13,4_3_1,0,12
25_15_6,25_15_1,0,5
25_15_7,25_15_1,0,6
25_15_4,25_15_1,0,3
25_15_5,25_15_1,0,4
25_15_2,25_15_1,0,1
25_15_3,25_15_1,0,2
25_15_8,25_15_1,0,7
