node1,node2,port1,port2
0_7_3,0_7_1,0,2
0_7_8,0_7_1,0,7
0_7_9,0_7_1,0,8
8_0_5,8_0_1,0,4
8_0_4,8_0_1,0,3
8_0_7,8_0_1,0,6
8_0_6,8_0_1,0,5
8_0_3,8_0_1,0,2
8_0_2,8_0_1,0,1
8_0_9,8_0_1,0,8
8_0_8,8_0_1,0,7
0_3_8,0_3_1,0,7
0_3_9,0_3_1,0,8
0_3_2,0_3_1,0,1
0_3_3,0_3_1,0,2
0_3_6,0_3_1,0,5
0_3_7,0_3_1,0,6
0_3_4,0_3_1,0,3
0_3_5,0_3_1,0,4
12_0_9,12_0_1,0,8
12_0_8,12_0_1,0,7
12_0_7,12_0_1,0,6
12_0_6,12_0_1,0,5
12_0_5,12_0_1,0,4
12_0_4,12_0_1,0,3
12_0_3,12_0_1,0,2
12_0_2,12_0_1,0,1
12_2_3,12_2_1,0,2
12_2_2,12_2_1,0,1
12_2_5,12_2_1,0,4
12_2_4,12_2_1,0,3
12_2_7,12_2_1,0,6
12_2_6,12_2_1,0,5
12_2_9,12_2_1,0,8
12_2_8,12_2_1,0,7
8_4_3,8_4_1,0,2
8_4_2,8_4_1,0,1
8_4_5,8_4_1,0,4
8_4_4,8_4_1,0,3
8_4_7,8_4_1,0,6
8_4_6,8_4_1,0,5
8_4_9,8_4_1,0,8
8_4_8,8_4_1,0,7
0_5_2,0_5_1,0,1
0_5_3,0_5_1,0,2
0_5_4,0_5_1,0,3
0_5_5,0_5_1,0,4
0_5_6,0_5_1,0,5
0_5_7,0_5_1,0,6
0_5_8,0_5_1,0,7
0_5_9,0_5_1,0,8
10_0_9,10_0_1,0,8
10_0_8,10_0_1,0,7
10_0_5,10_0_1,0,4
10_0_4,10_0_1,0,3
10_0_7,10_0_1,0,6
10_0_6,10_0_1,0,5
10_0_3,10_0_1,0,2
10_0_2,10_0_1,0,1
8_5_8,8_5_1,0,7
8_5_9,8_5_1,0,8
8_5_2,8_5_1,0,1
8_5_3,8_5_1,0,2
8_5_4,8_5_1,0,3
8_5_5,8_5_1,0,4
8_5_6,8_5_1,0,5
8_5_7,8_5_1,0,6
4_7_8,4_7_1,0,7
4_7_9,4_7_1,0,8
4_7_2,4_7_1,0,1
4_7_3,4_7_1,0,2
4_7_6,4_7_1,0,5
4_7_7,4_7_1,0,6
4_7_4,4_7_1,0,3
4_7_5,4_7_1,0,4
15_2_6,15_2_1,0,5
15_2_7,15_2_1,0,6
15_2_4,15_2_1,0,3
15_2_5,15_2_1,0,4
15_2_2,15_2_1,0,1
15_2_3,15_2_1,0,2
15_2_8,15_2_1,0,7
15_2_9,15_2_1,0,8
12_4_9,12_4_1,0,8
12_4_8,12_4_1,0,7
12_4_3,12_4_1,0,2
12_4_2,12_4_1,0,1
12_4_7,12_4_1,0,6
12_4_6,12_4_1,0,5
12_4_5,12_4_1,0,4
12_4_4,12_4_1,0,3
11_7_7,11_7_1,0,6
11_7_6,11_7_1,0,5
11_7_5,11_7_1,0,4
11_7_4,11_7_1,0,3
11_7_3,11_7_1,0,2
11_7_2,11_7_1,0,1
11_7_9,11_7_1,0,8
11_7_8,11_7_1,0,7
14_1_2,14_1_1,0,1
14_1_3,14_1_1,0,2
14_1_4,14_1_1,0,3
14_1_5,14_1_1,0,4
14_1_6,14_1_1,0,5
14_1_7,14_1_1,0,6
14_1_8,14_1_1,0,7
14_1_9,14_1_1,0,8
3_5_9,3_5_1,0,8
3_5_8,3_5_1,0,7
3_5_3,3_5_1,0,2
3_5_2,3_5_1,0,1
3_5_7,3_5_1,0,6
3_5_6,3_5_1,0,5
3_5_5,3_5_1,0,4
3_5_4,3_5_1,0,3
4_1_2,4_1_1,0,1
4_1_3,4_1_1,0,2
4_1_4,4_1_1,0,3
4_1_5,4_1_1,0,4
4_1_6,4_1_1,0,5
4_1_7,4_1_1,0,6
4_1_8,4_1_1,0,7
4_1_9,4_1_1,0,8
4_3_6,4_3_1,0,5
4_3_7,4_3_1,0,6
4_3_4,4_3_1,0,3
4_3_5,4_3_1,0,4
4_3_2,4_3_1,0,1
4_3_3,4_3_1,0,2
4_3_8,4_3_1,0,7
4_3_9,4_3_1,0,8
4_5_4,4_5_1,0,3
4_5_5,4_5_1,0,4
4_5_6,4_5_1,0,5
4_5_7,4_5_1,0,6
4_5_2,4_5_1,0,1
4_5_3,4_5_1,0,2
4_5_8,4_5_1,0,7
4_5_9,4_5_1,0,8
10_2_9,10_2_1,0,8
10_2_8,10_2_1,0,7
10_2_3,10_2_1,0,2
10_2_2,10_2_1,0,1
10_2_7,10_2_1,0,6
10_2_6,10_2_1,0,5
10_2_5,10_2_1,0,4
10_2_4,10_2_1,0,3
3_3_3,3_3_1,0,2
3_3_2,3_3_1,0,1
3_3_5,3_3_1,0,4
3_3_4,3_3_1,0,3
3_3_7,3_3_1,0,6
3_3_6,3_3_1,0,5
3_3_9,3_3_1,0,8
